"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8238","Validate submenu: Services > DevOps Automation Services","chromium","Fri Aug 01 13:12:03 IST 2025","passed","Fri Aug 01 13:12:11 IST 2025","Header and Submenu Validation","playwright\headers_verification.spec.ts","",""
"","5969","Validate header: Software Development","chromium","Fri Aug 01 13:11:45 IST 2025","passed","Fri Aug 01 13:11:50 IST 2025","Footer  Validation","playwright\footers_verification.spec.ts","",""
"","7703","Validate submenu: Industries > Healthcare","chromium","Fri Aug 01 13:13:03 IST 2025","passed","Fri Aug 01 13:13:11 IST 2025","Header and Submenu Validation","playwright\headers_verification.spec.ts","",""
"","6141","Validate header: Privacy Policy","chromium","Fri Aug 01 13:11:57 IST 2025","passed","Fri Aug 01 13:12:03 IST 2025","Footer  Validation","playwright\footers_verification.spec.ts","",""
"","7560","Validate submenu: Services > Accessibility Testing","chromium","Fri Aug 01 13:12:11 IST 2025","passed","Fri Aug 01 13:12:19 IST 2025","Header and Submenu Validation","playwright\headers_verification.spec.ts","",""
"","8077","Validate submenu: Services > Web Development","chromium","Fri Aug 01 13:12:47 IST 2025","passed","Fri Aug 01 13:12:55 IST 2025","Header and Submenu Validation","playwright\headers_verification.spec.ts","",""
"","8107","Validate submenu: Industries > Fintech","chromium","Fri Aug 01 13:13:04 IST 2025","passed","Fri Aug 01 13:13:12 IST 2025","Header and Submenu Validation","playwright\headers_verification.spec.ts","",""
"","7903","Validate submenu: Industries > EduTech","chromium","Fri Aug 01 13:12:55 IST 2025","passed","Fri Aug 01 13:13:03 IST 2025","Header and Submenu Validation","playwright\headers_verification.spec.ts","",""
"","6327","Validate header: Blog","chromium","Fri Aug 01 13:11:50 IST 2025","passed","Fri Aug 01 13:11:57 IST 2025","Footer  Validation","playwright\footers_verification.spec.ts","",""
"","4367","Find us on map section should be visible","chromium","Fri Aug 01 13:13:40 IST 2025","passed","Fri Aug 01 13:13:45 IST 2025","Contact Us Page","playwright\Navigation_verification.spec.ts","",""
"","7027","Validate submenu: Services > Cloud Security Services","chromium","Fri Aug 01 13:12:40 IST 2025","passed","Fri Aug 01 13:12:47 IST 2025","Header and Submenu Validation","playwright\headers_verification.spec.ts","",""
